document_id,path,title,metadata_type,created,updated
1007,0012/UEngMaitland12049_F,"The history of London, from its foundation by the Romans, to the present time. :Containing a faithful relation of the publick transactions of the citizens; accounts of the several parishes; parallels between London and other great cities; its governments, civil, ecclesiastical and military; commerce, state of learning, charitable foundations, &c. With the several accounts of Westminster, Middlesex, Southwark, and other parts within the Bill of Mortality. In nine books. The whole illustrated with a variety of fine cuts. With a compleat index.",TEI,2015-11-04T20:03:36+00:00,2015-11-05T16:10:33+00:00
5900,0012/lcp_ms01,S. John Chrysostom: Homilies,TEI,2018-01-12T21:58:57+00:00,2019-09-24T17:44:14+00:00
6000,0012/lcp_ms08,"Gallican Psalter with Canticles, Litany, and Prayers",TEI,2018-02-02T20:59:41+00:00,2019-09-24T17:44:14+00:00
6001,0012/lcp_ms14,Regulae ordinis fratrum minorum Franciscani etc.,TEI,2018-02-05T17:24:33+00:00,2018-09-11T18:31:23+00:00
6022,0012/lcp_ms24,"Hamilton Book of Hours, Use of Therouanne",TEI,2018-02-12T16:29:14+00:00,2019-09-24T17:44:14+00:00
6203,0012/lcp_ms07,Diurnal Antiphonal,TEI,2018-03-19T16:10:20+00:00,2019-09-24T17:44:14+00:00
6205,0012/lcp_ms06,Postilla super psalterium (Commentary on the Psalms),TEI,2018-03-19T17:15:26+00:00,2019-09-24T17:44:14+00:00
6206,0012/lcp_ms09,Biblia,TEI,2018-03-19T18:39:16+00:00,2019-09-24T17:44:14+00:00
6371,0012/lcp_ms04,Gallican Psalter with Canticles,TEI,2018-04-03T17:55:53+00:00,2019-09-24T17:44:14+00:00
6372,0012/lcp_ms05,"Book of Hours, Use of Rouen",TEI,2018-04-03T19:36:02+00:00,2019-09-24T17:44:14+00:00
6560,0012/lcp_ms15,"Book of Hours, fragment",TEI,2018-05-04T15:51:51+00:00,2018-09-11T18:33:03+00:00
6561,0012/lcp_ms18,Traictie des VII fruis de tribulacion,TEI,2018-05-04T16:17:56+00:00,2019-12-03T15:52:12+00:00
6562,0012/lcp_ms19,Antiphonal,TEI,2018-05-04T19:12:53+00:00,2018-09-11T18:46:48+00:00
6592,0012/lcp_ms22,"Jacobus de Cessolis: De ludo scacchorum, incomplete",TEI,2018-05-29T20:54:21+00:00,2018-09-11T18:52:04+00:00
6594,0012/lcp_ms20,Jacobus de Voragine: Sermones etc.,TEI,2018-05-30T16:37:49+00:00,2018-09-11T18:48:32+00:00
6595,0012/lcp_ms21,"Gradual, incomplete",TEI,2018-05-30T19:26:10+00:00,2018-09-11T18:50:23+00:00
6596,0012/lcp_ms12_v1,"Book of Hours, Use of Paris",TEI,2018-05-30T19:46:17+00:00,2018-09-11T18:10:34+00:00
6597,0012/lcp_ms12_v2,"Book of Hours, Use of Paris",TEI,2018-05-30T20:24:01+00:00,2018-09-11T18:28:46+00:00
7016,0012/lcp_ms03,"Palladius: historia lausiaca, etc.",TEI,2019-03-13T15:20:58+00:00,2019-09-24T17:44:15+00:00
7026,0012/lcp_ms02,"Zonaras, Lexicon in greek",TEI,2019-03-14T15:21:25+00:00,2019-09-24T17:44:15+00:00
9805,0012/69097_d,Dala'il al-khayrat wa-shawariq al-anwar fi dhikr al-salat `ala al-Nabi al-mukhtar / dly'l lkhyrt w shwrq lnwr fy dhkr lSl@ `l~ lnby lmkhtr,TEI,2020-03-23T14:52:55+00:00,2020-04-03T13:38:34+00:00
9806,0012/yi_2_s_91073_d,Sharh Mi`ah 'amil / shrH my'@ `ml,TEI,2020-03-23T16:49:02+00:00,2020-03-23T22:25:32+00:00
9807,0012/b10_f4,Charm,TEI,2020-03-23T20:05:36+00:00,2020-03-24T14:09:43+00:00
9821,0012/961_f_5d,Qur'an. Surat al-ikhlas / qran. swr@ lkhlS,TEI,2020-03-26T13:07:25+00:00,2020-03-26T22:26:04+00:00
9862,0012/rush_mss_volume_281,"Notes by Benjamin Rush for Introductory lecture to a course of lectures on the theory and practice of physic. Delivered in the College of Philadelphia before the students and trustees of the College, November 2nd 1789.",TEI,2020-06-08T14:49:38+00:00,2020-06-09T09:23:17+00:00
9863,0012/rush_mss_volume_135,Manuscript work by Benjamin Rush on Hygiene.,TEI,2020-06-08T15:06:59+00:00,2020-06-09T09:23:17+00:00
9865,0012/rush_mss_volume_110,Lecture notes by Benjamin Rush on the Practice of medicine.,TEI,2020-06-09T12:34:41+00:00,2020-06-09T15:05:13+00:00
9866,0012/rush_mss_volume_111,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-09T13:46:19+00:00,2020-06-09T15:05:13+00:00
9867,0012/rush_mss_volume_112,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-09T15:31:53+00:00,2020-06-10T23:29:48+00:00
9868,0012/rush_mss_volume_113,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-09T16:41:21+00:00,2020-06-10T23:29:49+00:00
9870,0012/rush_mss_volume_114,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-10T14:51:37+00:00,2020-06-10T23:29:49+00:00
9871,0012/rush_mss_volume_115,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-10T15:27:51+00:00,2020-06-10T23:29:49+00:00
9872,0012/rush_mss_volume_116,"Lecture notes by Benjamin Rush on the Practice of medicine: Gastritis, enteritis, splenitis, nephritis, cystitis, otalgia, hemorrhoids, opthalmia, phlogasis, gangrene, sphacelus, paronychia, anthrax, burns and frozen, hemorrhages, hemoptysis, epitasis, homatymensis, and gout.",TEI,2020-06-10T16:21:06+00:00,2020-06-10T23:29:49+00:00
9873,0012/rush_mss_volume_117,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-10T17:08:20+00:00,2020-06-10T23:29:49+00:00
9874,0012/rush_mss_volume_118,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-10T18:42:43+00:00,2020-06-10T23:29:49+00:00
9875,0012/rush_mss_volume_119,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-10T19:29:35+00:00,2020-06-10T23:29:49+00:00
9876,0012/rush_mss_volume_120,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-11T13:37:25+00:00,2020-06-11T22:58:09+00:00
9877,0012/rush_mss_volume_121,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-11T15:17:30+00:00,2020-06-11T22:58:09+00:00
9878,0012/rush_mss_volume_122,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-11T16:17:47+00:00,2020-06-11T22:58:09+00:00
9879,0012/rush_mss_volume_123,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-11T17:15:12+00:00,2020-06-11T22:58:09+00:00
9880,0012/rush_mss_volume_124,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-11T19:18:25+00:00,2020-06-11T22:58:09+00:00
9882,0012/rush_mss_volume_125,Lecture notes by Benjamin Rush on the Practice of medicine:,TEI,2020-06-12T00:38:35+00:00,2020-06-12T22:19:27+00:00
9883,0012/rush_mss_volume_126,"Lecture notes by Benjamin Rush on an Introduction to a course of clinical lectures, delivered 1791-1794.",TEI,2020-06-15T13:20:47+00:00,2020-06-15T22:35:34+00:00
9884,0012/rush_mss_volume_127,Lecture notes by Benjamin Rush on an Introduction to a course of clinical lectures.,TEI,2020-06-15T13:49:37+00:00,2020-06-15T22:35:34+00:00
9885,0012/rush_mss_volume_128,"Lecture notes by Benjamin Rush on An inaugural lecture upon the necessity of combining theory and practice in medicine, delivered November 7, 1791.",TEI,2020-06-15T14:50:31+00:00,2020-06-15T22:35:34+00:00
9887,0012/rush_mss_volume_129,Lecture notes by Benjamin Rush on Therapeuticks sic.,TEI,2020-06-15T17:59:12+00:00,2020-06-15T22:35:34+00:00
9888,0012/rush_mss_volume_130,Lecture notes by Benjamin Rush on Therapeuticks sic.,TEI,2020-06-15T19:54:32+00:00,2020-06-15T22:35:34+00:00
9889,0012/rush_mss_volume_131,Lecture notes by Benjamin Rush on Therapeuticks sic.,TEI,2020-06-15T21:06:16+00:00,2020-06-15T22:35:34+00:00
9890,0012/rush_mss_volume_132,Lecture notes by Benjamin Rush on Therapeuticks sic.,TEI,2020-06-16T00:26:28+00:00,2020-06-16T22:35:04+00:00
9891,0012/rush_mss_volume_133,Lecture notes by Benjamin Rush on the Principles of the materia medica.,TEI,2020-06-16T01:15:08+00:00,2020-06-16T22:35:04+00:00
9892,0012/rush_mss_volume_134,Lecture notes by Benjamin Rush on the Principles of the materia medica.,TEI,2020-06-16T01:46:40+00:00,2020-06-16T22:35:04+00:00
9893,0012/rush_mss_volume_136,Lecture notes by Benjamin Rush on hygiene.,TEI,2020-06-16T01:58:53+00:00,2020-06-16T22:35:04+00:00
