document_id,path,title,metadata_type,created,updated
11282,0052/ua_sned_1a,Mrs. Ducarel's Penmanship Book,TEI,2021-11-18T15:44:43+00:00,2021-11-18T23:20:04+00:00
11283,0052/ua_sned_14a_14b,Request for Taxation Revenue for Shahpur and Ghanapur,TEI,2021-11-29T15:54:16+00:00,2021-11-29T23:16:12+00:00
11285,0052/ua_sned_15a_15b,Envelope with the seal of Janab Muhammad Khouram Tarah Panah or Janab Muhammad Khouram Utar Panah,TEI,2021-11-30T18:27:13+00:00,2021-11-30T23:18:55+00:00
11286,0052/ua_sned_16a_16b,"Letter from Muzaffar Jang (Reza Khan) to G. G. Ducarel, asking for news of his safe arrival in England",TEI,2021-11-30T18:36:08+00:00,2021-11-30T23:18:55+00:00
11287,0052/ua_sned_17,"Letter from Khouram 'Ali Khan written to request funding to give employment to Mirza Da'im Beg, one of Elizabeth Sharaf un-Nisa's brothers",TEI,2021-11-30T18:43:38+00:00,2021-11-30T23:18:55+00:00
11288,0052/ua_sned_18,"Letter from Unknown Author to G.G. Ducarel, Describing Troubles",TEI,2021-11-30T18:49:52+00:00,2021-11-30T23:18:55+00:00
11289,0052/ua_sned_19a_19b_19c,A Packet of Letters: Daim Beg to John Shore; Daim Beg to Sharaf un-Nisa,TEI,2021-11-30T19:26:47+00:00,2021-11-30T23:18:55+00:00
11290,0052/ua_sned_20a,Woes and Troubles of Sharaf un-Nisa's brothers,TEI,2021-11-30T19:37:13+00:00,2021-11-30T23:18:55+00:00
11291,0052/ua_sned_21a_21b,Sizeable Letter Detailing Family's Financial Distress,TEI,2021-11-30T19:40:54+00:00,2021-11-30T23:18:55+00:00
11292,0052/ua_sned_22a_22b,Letter from 'Alim Beg to G.G. Ducarel with 'Alim Beg's Seal,TEI,2021-11-30T19:51:50+00:00,2021-11-30T23:18:55+00:00
11293,0052/ua_sned_23,"Letter from one of Sharaf un-Nisa's brothers (unsigned) to John Shore, Sharaf un-Nisa, and G.G. Ducarel",TEI,2021-11-30T19:56:31+00:00,2021-11-30T23:18:55+00:00
11294,0052/ua_sned_24,Persian Letter to G.G. Ducarel from one of Elizabeth Sharaf un-Nisa's Brothers,TEI,2021-11-30T20:34:18+00:00,2021-11-30T23:18:55+00:00
11295,0052/ua_sned_25a_25b,Petition from 'Alim Beg to Elizabeth Sharaf un-Nisa Signed by 'Alim Beg and envelope sealed by Daim Beg,TEI,2021-11-30T20:43:29+00:00,2021-11-30T23:18:55+00:00
11296,0052/ua_sned_26,"Letter to G.G. Ducarel Mentioning Qaim Beg and Daim Beg, Elizabeth Sharaf un-Nisa's Brothers",TEI,2021-11-30T20:48:09+00:00,2021-11-30T23:18:55+00:00
11297,0052/ua_sned_27a_27b,Letter from 'Alim Beg updating G.G. Ducarel on Business Interests,TEI,2021-11-30T20:58:21+00:00,2021-11-30T23:18:55+00:00
11298,0052/ua_sned_28a,Persian Letter from Elizabeth Sharaf un-Nisa's brother to G.G. Ducarel,TEI,2021-11-30T21:02:12+00:00,2021-11-30T23:18:55+00:00
11299,0052/ua_sned_29a,Letter from Mirza 'Alim Beg to G.G. Ducarel,TEI,2021-11-30T21:04:58+00:00,2021-11-30T23:18:55+00:00
11301,0052/ua_sned_31a,Letter to G.G. Ducarel from Nadir az-Zaman Munshi,TEI,2021-11-30T21:17:05+00:00,2021-11-30T23:18:55+00:00
11302,0052/ua_sned_32a,Record of Accounting of Land Income,TEI,2021-11-30T21:21:35+00:00,2021-11-30T23:18:55+00:00
11303,0052/ua_sned_30a,Letter from 'Alim Beg to Elizabeth Sharaf un-Nisa,TEI,2021-11-30T21:25:24+00:00,2021-11-30T23:18:56+00:00
11304,0052/ua_sned_33a,Orphaned Persian Envelope Addressed to G.G. Ducarel,TEI,2021-11-30T21:31:25+00:00,2021-11-30T23:18:56+00:00
11305,0052/ua_sned_34a,Orphaned Envelope Addressed to Gerard Gustavus Ducarel from Daim Beg,TEI,2021-11-30T21:34:54+00:00,2021-11-30T23:18:56+00:00
11306,0052/ua_sned_35a_35b,Two Orphaned Envelopes from Alim Beg to G.G. Ducarel,TEI,2021-11-30T21:40:42+00:00,2021-11-30T23:18:56+00:00
11307,0052/ua_sned_36a_1,Letter regarding G.G. Ducarel's French inheritance,TEI,2021-11-30T21:48:29+00:00,2021-11-30T23:18:56+00:00
11308,0052/ua_sned_36a_2,Organized G.G. Ducarel Correspondence,TEI,2021-11-30T21:54:54+00:00,2021-11-30T23:18:56+00:00
11309,0052/ua_sned_36a_3,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T14:15:56+00:00,2021-12-01T23:18:11+00:00
11310,0052/ua_sned_36a_4,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T14:21:47+00:00,2021-12-01T23:18:11+00:00
11311,0052/ua_sned_36a_5,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T14:26:43+00:00,2021-12-01T23:18:11+00:00
11312,0052/ua_sned_36a_6,Letter from the Count of Lapasteur seeking G.G. Ducarel's blessing to marry Betsy,TEI,2021-12-01T14:32:32+00:00,2021-12-01T23:18:11+00:00
11313,0052/ua_sned_36a_7,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T14:39:16+00:00,2021-12-01T23:18:11+00:00
11314,0052/ua_sned_36a_8,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T14:47:37+00:00,2021-12-01T23:18:11+00:00
11315,0052/ua_sned_36a_9,Letter from the Count of Lapasteur to G. G. Ducarel refuting his opposition,TEI,2021-12-01T14:53:10+00:00,2021-12-01T23:18:11+00:00
11316,0052/ua_sned_36a_10,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T14:58:33+00:00,2021-12-01T23:18:11+00:00
11317,0052/ua_sned_36a_11,Organized G.G. Ducarel Correspondence,TEI,2021-12-01T15:03:54+00:00,2021-12-01T23:18:11+00:00
11318,0052/ua_sned_38a_2,Extract of G.G. Ducarel's Will,TEI,2021-12-01T15:09:54+00:00,2021-12-01T23:18:11+00:00
11319,0052/ua_sned_38a_1,"Bond for 3,000 pounds from Henry Bell to G.G. Ducarel",TEI,2021-12-01T15:14:50+00:00,2021-12-01T23:18:11+00:00
11320,0052/ua_sned_38a_3,Serampore Bill,TEI,2021-12-01T15:18:50+00:00,2021-12-01T23:18:11+00:00
